Ö¸Êı,Öµ,rank0,rank1
10086.0,201.0,1.0,1.0
11967.0,218.0,2.0,2.0
12774.0,252.0,3.0,3.0
16490.0,320.0,4.0,4.0
17136.0,333.0,5.0,5.0
20527.0,379.0,6.0,6.0
22248.0,428.0,7.0,7.0
22946.0,430.3993474506144,8.0,8.0
23107.0,440.32389665837565,9.0,9.0
23751.0,442.84825521984646,10.0,10.0
23913.0,461.27738372270653,11.0,11.0
25039.0,464.0,12.0,12.0
25308.0,469.95294984888466,13.0,13.0
25629.0,475.0,14.0,14.0
26005.0,479.8384107231759,15.0,15.0
26112.0,493.21932580866377,16.0,16.0
26433.0,497.716210537712,17.0,17.0
26487.0,498.8208052681468,18.0,18.0
27183.0,511.0270229036734,19.0,19.0
27237.0,511.960953239746,20.0,20.0
27558.0,513.5703061397634,21.0,21.0
27665.0,518.436126050215,22.0,22.0
27773.0,523.367894779083,23.0,23.0
27987.0,525.8712720957758,24.0,24.0
28254.0,529.8943308079461,25.0,25.0
28361.0,531.9176504977427,26.0,26.0
28468.0,532.3336651719504,27.0,27.0
28522.0,533.160326638108,28.0,28.0
28789.0,536.5706673336053,29.0,29.0
29057.0,546.7192217326743,30.0,30.0
29324.0,551.6922707588963,31.0,31.0
29485.0,560.8326311038912,32.0,32.0
29966.0,563.9254258228657,33.0,33.0
30019.0,584.5212570431845,34.0,34.0
30767.0,586.0,35.0,35.0
30927.0,586.3997121320035,36.0,36.0
31034.0,587.0,37.0,37.0
31728.0,589.3309861105765,38.0,38.0
31942.0,597.0,39.0,39.0
32315.0,603.0,40.0,40.0
32795.0,625.0,41.0,41.0
33009.0,625.0,42.0,42.0
34501.0,626.1073871722891,43.0,43.0
34554.0,645.5627387231817,44.0,44.0
34980.0,648.0,45.0,45.0
35086.0,667.0,46.0,46.0
35565.0,676.0,47.0,47.0
36097.0,685.0,48.0,48.0
36151.0,685.0,49.0,49.0
36204.0,689.0,50.0,50.0
36576.0,689.0,51.0,51.0
37055.0,692.0481635030603,52.0,52.0
37267.0,699.0,53.0,53.0
38064.0,723.0,54.0,54.0
38170.0,724.0,55.0,55.0
38329.0,727.0,56.0,56.0
38383.0,729.0,57.0,57.0
38807.0,736.0,58.0,58.0
38966.0,738.0,59.0,59.0
39179.0,742.0,60.0,60.0
39285.0,747.0,61.0,61.0
39550.0,751.0,62.0,62.0
39868.0,756.0,63.0,63.0
40239.0,765.0,64.0,64.0
40292.0,766.0,65.0,65.0
40610.0,771.0,66.0,66.0
41087.0,776.0,67.0,67.0
41193.0,776.702511985116,68.0,68.0
41246.0,777.9932495859958,69.0,69.0
